id estación,elevación,latitud,longitud,Cluster_Geo,Media_Anual
230075010,449.0,5.51,-74.5,0,3863.935
23050100,160.0,5.43,-74.43,0,2643.4714285714285
23110030,150.0,5.56,-74.34999999999998,0,2171.4590909090907
23110040,150.0,5.52,-74.34,0,2533.968181818182
23020090,2637.0,5.16,-75.15999999999998,1,1825.890909090909
230502230,2100.0,5.22,-75.08,1,3093.122727272727
23050250,730.0,5.34,-74.53,0,3620.1045454545456
23055040,1475.0,5.25,-74.59,0,6934.85238095238
23040070,920.0,5.19,-74.56,0,4585.257142857144
23020100,675.0,5.19,-74.54,0,3660.8227272727277
26155150,4150.0,4.54,-75.20999999999998,2,1416.2
21230120,1200.0,4.59,-74.34,0,1430.2545454545455
21230090,245.0,5.12,-74.43,0,1664.2
21230110,262.0,4.23,-74.5,3,1212.5772727272727
230350020,172.0,5.28,-74.39,0,1800.8636363636363
21230070,1303.0,4.51,-74.37,0,1255.9136363636362
21255090,300.0,5.0,-74.54,0,1742.2272727272727
21210130,2070.0,4.22,-75.29999999999998,1,1183.8181818181818
21185020,431.0,4.11,-74.56999999999998,3,1511.6
21180160,300.0,4.03,-74.5,3,1714.0954545454545
23025020,222.0,5.15,-74.43,0,1543.1809523809522
23010080,196.0,5.12,-74.44,0,1165.605
21220050,680.0,4.21,-75.03,4,1278.6454545454546
21245040,928.0,4.25,-75.08,4,1645.6954545454546
21215140,780.0,4.19,-75.04,4,1210.7588235294115
21210160,1920.0,4.28,-75.18,1,1847.8681818181817
21210120,1965.0,4.29,-75.14,1,1836.5772727272727
21210020,1765.0,4.33,-75.19,1,1411.8333333333333
21210220,2200.0,4.34,-75.19,1,1292.595238095238
21210170,2200.0,4.21,-75.25,1,1485.7727272727275
21210110,2170.0,4.31,-75.15999999999998,1,2011.2590909090907
21240030,1980.0,4.32,-75.04,1,1695.095238095238
21210080,1490.0,4.29,-75.17,4,1886.8772727272728
21210180,2000.0,4.31,-75.25,1,1305.7681818181818
21255150,350.0,4.51,-74.53,3,1504.4727272727273
16055100,1150.0,8.14,-73.19,0,913.1619047619048
21255140,500.0,4.49,-74.54999999999998,3,1264.1999999999998
21250050,3150.0,4.51,-75.15,2,1818.8818181818183
21250480,3460.0,4.54,-75.12999999999998,2,1370.1727272727273
21220040,540.0,4.32,-74.51999999999998,3,1165.7636363636364
22055030,300.0,3.59,-74.53,3,1655.4666666666667
21180040,950.0,4.14,-75.14,4,1780.7136363636362
21210190,1250.0,4.16,-75.08,4,1809.4428571428573
21255110,2091.0,4.42,-75.06999999999998,1,1549.45
21185080,650.0,4.13,-75.06,4,1508.9285714285713
21250460,430.0,4.39,-74.54999999999998,3,1491.909090909091
